,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
170,IDTI,IDTI,IDTI,HSIC,HSIC,HYH,INGR,INT,JBLU,JBLU,JACK,JHG
171,IDXX,IDXX,IDXX,HSNI,HSNI,IBOC,INT,IPGP,JCOM,JCOM,JAZZ,JLL
172,IEX,IEX,IEX,HTSI,HTSI,IDA,IPGP,ISCA,JHG,JHG,JBGS,JW.A
173,IM,IM,IM,HUBB,HUBB,IDCC,ISCA,ITT,JKHY,JKHY,JBL,JWN
174,INFA,INFA,INFA,IBOC,IBOC,IDTI,ISIL,JACK,JLL,JLL,JBLU,KBH
175,IPI,IPI,IPI,IDA,IDA,IDXX,IT,JBGS,JW.A,JW.A,JCOM,KBR
176,IRF,IRF,IRF,IDCC,IDCC,IEX,ITT,JBL,KBH,KBH,JEF,KD
177,ISCA,ISCA,ISCA,IDTI,IDTI,IM,JACK,JBLU,KBR,KBR,JHG,KEX
178,ISIL,ISIL,ISIL,IDXX,IDXX,INFA,JBL,JCOM,KEX,KEX,JLL,KMPR
179,IT,IT,IT,IEX,IEX,INGR,JBLU,JHG,KMPR,KMPR,JW.A,KMT
180,ITRI,ITRI,ITRI,IM,IM,INT,JCOM,JKHY,KMT,KMT,JWN,KNSL
181,JBHT,JBHT,JBHT,INFA,INFA,IPGP,JCP,JLL,KNX,KNX,KAR,KNX
182,JBLU,JBLU,JBLU,INGR,INGR,ISCA,JKHY,JW.A,KRC,KRC,KBH,KRC
183,JCG,JCG,JCG,INT,INT,ISIL,JLL,KBH,LAMR,LAMR,KBR,KRG
184,JEF,JEF,JEF,IPI,IPI,IT,JNS,KBR,LANC,LANC,KEX,KSS
185,JKHY,JKHY,JKHY,IRF,IRF,ITRI,JOY,KEX,LDOS,LDOS,KMPR,LAD
186,JLL,JLL,JLL,ISCA,ISCA,ITT,JW.A,KEYS,LECO,LECO,KMT,LAMR
187,JOYG,JOYG,JOYG,ISIL,ISIL,JAH,KATE,KLXI,LFUS,LFUS,KNX,LANC
188,JWA,JWA,JWA,IT,IT,JBHT,KBH,KMPR,LGND,LGND,KRC,LEA
189,KBH,KBH,KBH,ITRI,ITRI,JBL,KBR,KMT,LHO,LHO,KSS,LECO
190,KBR,KBR,KBR,ITT,ITT,JBLU,KEX,KN,LII,LII,LAD,LEG
191,KCI,KCI,KCI,JAH,JAH,JCP,KEYS,KNX,LITE,LITE,LAMR,LFUS
192,KEX,KEX,KEX,JBHT,JBHT,JDSU,KLXI,KRC,LIVN,LIVN,LANC,LHCG
193,KFY,KFY,KFY,JBLU,JBLU,JKHY,KMPR,LAMR,LM,LM,LEA,LII
194,KMT,KMT,KMT,JKHY,JKHY,JLL,KMT,LANC,LOGM,LOGM,LECO,LITE
195,KND,KND,KND,JLL,JLL,JNS,KN,LDOS,LPNT,LPNT,LFUS,LIVN
196,KSU,KSU,KSU,JNS,JNS,JW.A,KRC,LECO,LPT,LPT,LGND,LNW
197,KWK,KWK,KWK,JWA,JWA,KATE,LAMR,LFUS,LPX,LPX,LHCG,LOPE
198,LAMR,LAMR,LAMR,KBH,KBH,KBH,LANC,LHO,LSI,LSI,LII,LPX
199,LANC,LANC,LANC,KBR,KBR,KBR,LDOS,LII,LSTR,LSTR,LITE,LSCC 
200,LECO,LECO,LECO,KEX,KEX,KEX,LECO,LIVN,LW,LW,LIVN,LSI
201,LII,LII,LII,KMPR,KMPR,KEYS,LFUS,LM,LYV,LYV,LOPE,LSTR
202,LKQX,LKQX,LKQX,KMT,KMT,KLXI,LHO,LNCE,MAN,MAN,LPX,M
203,LNCR,LNCR,LNCR,KRC,KRC,KMPR,LII,LOGM,MANH,MANH,LSI,MAC
204,LNT,LNT,LNT,LAMR,LAMR,KMT,LIVN,LPNT,MASI,MASI,LSTR,MAN
205,LPNT,LPNT,LPNT,LANC,LANC,KN,LM,LPT,MBFI,MBFI,MAC,MANH
206,LPS,LPS,LPS,LDOS,LDOS,KRC,LNCE,LPX,MCY,MCY,MAN,MASI
207,LPX,LPX,LPX,LECO,LECO,LAMR,LPNT,LSI,MD,MD,MANH,MAT
208,LRCX,LRCX,LRCX,LII,LII,LANC,LPT,LSTR,MDP,MDP,MASI,MCY
209,LRY,LRY,LRY,LKQ,LKQ,LDOS,LPX,LW,MDR,MDR,MAT,MDU
210,LSTR,LSTR,LSTR,LNT,LNT,LECO,LSI,LYV,MDRX,MDRX,MCY,MEDP
211,LTM,LTM,LTM,LPNT,LPNT,LHO,LSTR,MAN,MDSO,MDSO,MDU,MIDD
212,LZ,LZ,LZ,LPS,LPS,LII,LW,MANH,MDU,MDU,MEDP,MKSI
213,MAC,MAC,MAC,LPX,LPX,LKQ,LYV,MASI,MIK,MIK,MIDD,MLKN
214,MAN,MAN,MAN,LRY,LRY,LNT,MAN,MBFI,MKSI,MKSI,MKSI,MMS
215,MANT,MANT,MANT,LSTR,LSTR,LPNT,MANH,MCY,MKTX,MKTX,MLHR,MPW
216,MASI,MASI,MASI,LTM,LTM,LPT,MBFI,MD,MLHR,MLHR,MMS,MRCY
217,MATW,MATW,MATW,LXK,LXK,LPX,MCY,MDP,MMS,MMS,MOH,MSA
218,MCRS,MCRS,MCRS,MAN,MAN,LSTR,MD,MDRX,MNK,MNK,MPW,MSM
219,MCY,MCY,MCY,MANT,MANT,LXK,MDP,MDSO,MOH,MOH,MPWR,MTDR
220,MD,MD,MD,MASI,MASI,LYV,MDRX,MDU,MPW,MPW,MRCY,MTG
221,MDC,MDC,MDC,MATW,MATW,MAA,MDU,MIK,MPWR,MPWR,MSA,MTX
222,MDRX,MDRX,MDRX,MATX,MATX,MAN,MENT,MKSI,MSA,MSA,MSM,MTZ
223,MDU,MDU,MDU,MCRS,MCRS,MANH,MKTX,MKTX,MSM,MSM,MTG,MUR
224,MENT,MENT,MENT,MCY,MCY,MCY,MLHR,MLHR,MTDR,MTDR,MTX,MUSA
225,MHK,MHK,MHK,MD,MD,MD,MMS,MMS,MTX,MTX,MTZ,NARI
226,MLHR,MLHR,MLHR,MDC,MDC,MDC,MOH,MNK,MTZ,MTZ,MUR,NATI
227,MLM,MLM,MLM,MDP,MDP,MDP,MPW,MOH,MUR,MUR,MUSA,NAVI
228,MRX,MRX,MRX,MDRX,MDRX,MDRX,MPWR,MPW,MUSA,MUSA,NATI,NBIX
229,MSA,MSA,MSA,MDU,MDU,MDU,MSA,MPWR,NATI,NATI,NAVI,NCR
230,MSCI,MSCI,MSCI,MENT,MENT,MENT,MSCC,MSA,NAVI,NAVI,NCR,NEOG
231,MSM,MSM,MSM,MHK,MHK,MLHR,MSCI,MSCC,NBR,NBR,NDSN,NEU
232,MTD,MTD,MTD,MLHR,MLHR,MMS,MSM,MSCI,NCR,NCR,NEOG,NFG
233,MTX,MTX,MTX,MLM,MLM,MSA,MTX,MSM,NDSN,NDSN,NEU,NGVT
234,NAL,NAL,NAL,MNK,MNK,MSCI,MUSA,MTDR,NEU,NEU,NFG,NJR
235,NATI,NATI,NATI,MSA,MSA,MSM,NATI,MTX,NFG,NFG,NGVT,NNN
236,NCI,NCI,NCI,MSCI,MSCI,MTD,NBR,MUR,NJR,NJR,NJR,NOV
